Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Total Doses - Daily - Age 5+,Total Doses - Daily - Age 12+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,1st Dose - Daily - Age 5+,1st Dose - Daily - Age 12+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,Vaccine Series Completed - Daily - Age 5+,Vaccine Series Completed - Daily - Age 12+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Population,ZIP Code Location,Row_ID
60601,10/24/2021,31,24439,16,13224,0.877,2,11157,0.74,31,31,31,10,16,16,16,3,2,2,2,0,15083,POINT (-87.622844 41.886262),60601-20211024
60601,10/25/2021,115,24554,25,13249,0.878,33,11190,0.742,115,115,112,26,25,25,22,7,33,33,33,1,15083,POINT (-87.622844 41.886262),60601-20211025
60601,10/26/2021,129,24683,40,13289,0.881,16,11206,0.743,129,129,127,48,40,40,38,9,16,16,16,1,15083,POINT (-87.622844 41.886262),60601-20211026
60601,10/27/2021,91,24774,22,13311,0.883,12,11218,0.744,91,91,91,24,22,22,22,3,12,12,12,0,15083,POINT (-87.622844 41.886262),60601-20211027
60601,10/28/2021,93,24867,25,13336,0.884,14,11232,0.745,93,93,93,29,25,25,25,4,14,14,14,2,15083,POINT (-87.622844 41.886262),60601-20211028
60601,10/29/2021,110,24977,38,13374,0.887,23,11255,0.746,110,110,105,20,38,38,33,3,23,23,23,2,15083,POINT (-87.622844 41.886262),60601-20211029
60601,10/30/2021,44,25021,20,13394,0.888,4,11259,0.746,44,44,40,5,20,20,16,1,4,4,4,0,15083,POINT (-87.622844 41.886262),60601-20211030
60601,10/31/2021,44,25065,16,13410,0.889,12,11271,0.747,44,44,40,10,16,16,12,2,12,12,12,2,15083,POINT (-87.622844 41.886262),60601-20211031
60601,11/01/2021,97,25162,48,13458,0.892,22,11293,0.749,97,97,91,17,48,48,42,4,22,22,22,1,15083,POINT (-87.622844 41.886262),60601-20211101
60601,11/02/2021,90,25252,35,13493,0.895,7,11300,0.749,90,90,88,12,35,35,33,0,7,7,7,0,15083,POINT (-87.622844 41.886262),60601-20211102
60601,11/03/2021,93,25345,35,13528,0.897,18,11318,0.75,93,93,90,26,35,35,33,4,18,18,17,2,15083,POINT (-87.622844 41.886262),60601-20211103
60601,11/04/2021,108,25453,37,13565,0.899,12,11330,0.751,108,102,100,24,37,31,31,4,12,12,10,1,15083,POINT (-87.622844 41.886262),60601-20211104
60601,11/06/2021,94,25692,32,13648,0.905,18,11364,0.753,94,90,88,16,32,28,27,4,18,18,17,1,15083,POINT (-87.622844 41.886262),60601-20211106
60601,11/07/2021,29,25721,15,13663,0.906,3,11367,0.754,29,27,26,2,15,13,12,0,3,3,3,0,15083,POINT (-87.622844 41.886262),60601-20211107
60601,11/08/2021,103,25824,44,13707,0.909,12,11379,0.754,103,98,98,17,44,39,39,4,12,12,12,1,15083,POINT (-87.622844 41.886262),60601-20211108
60602,11/06/2021,3,2966,1,1631,1.42,0,1169,1.02,3,3,3,0,1,1,1,0,0,0,0,0,1145,POINT (-87.628309 41.883136),60602-20211106
60602,11/07/2021,1,2967,1,1632,1.43,0,1169,1.02,1,1,1,0,1,1,1,0,0,0,0,0,1145,POINT (-87.628309 41.883136),60602-20211107
60602,11/08/2021,6,2973,1,1633,1.43,1,1170,1.02,6,6,6,1,1,1,1,0,1,1,1,0,1145,POINT (-87.628309 41.883136),60602-20211108
60603,11/06/2021,5,3398,1,2090,1.99,0,1402,1.33,5,5,5,0,1,1,1,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20211106
60603,11/07/2021,5,3403,1,2091,1.99,1,1403,1.33,5,5,5,0,1,1,1,0,1,1,1,0,1052,POINT (-87.625473 41.880112),60603-20211107
60603,11/08/2021,19,3422,13,2104,2,0,1403,1.33,19,19,19,2,13,13,13,1,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20211108
60604,11/06/2021,2,1789,2,959,1.17,0,773,0.939,2,1,1,0,2,1,1,0,0,0,0,0,823,POINT (-87.629029 41.878153),60604-20211106
60604,11/08/2021,3,1796,1,962,1.17,1,775,0.942,3,3,3,0,1,1,1,0,1,1,1,0,823,POINT (-87.629029 41.878153),60604-20211108
60605,03/14/2021,76,12710,58,7569,0.26,20,5232,0.18,76,76,76,19,58,58,58,15,20,20,20,4,29060,POINT (-87.623449 41.867824),60605-20210314
60605,03/15/2021,240,12950,158,7727,0.266,92,5324,0.183,240,240,239,44,158,158,157,19,92,92,92,25,29060,POINT (-87.623449 41.867824),60605-20210315
60605,03/16/2021,261,13211,150,7877,0.271,122,5446,0.187,261,261,261,83,150,150,150,14,122,122,122,69,29060,POINT (-87.623449 41.867824),60605-20210316
60605,03/17/2021,246,13457,177,8054,0.277,70,5516,0.19,246,246,245,39,177,177,176,6,70,70,70,34,29060,POINT (-87.623449 41.867824),60605-20210317
60605,03/18/2021,295,13752,236,8290,0.285,63,5579,0.192,295,295,295,28,236,236,236,14,63,63,63,14,29060,POINT (-87.623449 41.867824),60605-20210318
60605,03/19/2021,312,14064,233,8523,0.293,86,5665,0.195,312,312,311,37,233,233,232,19,86,86,86,18,29060,POINT (-87.623449 41.867824),60605-20210319
60605,03/20/2021,199,14263,143,8666,0.298,79,5744,0.198,199,199,199,29,143,143,143,8,79,79,79,21,29060,POINT (-87.623449 41.867824),60605-20210320
60605,03/21/2021,139,14402,117,8783,0.302,32,5776,0.199,139,139,138,14,117,117,116,6,32,32,32,8,29060,POINT (-87.623449 41.867824),60605-20210321
60605,03/22/2021,306,14708,263,9046,0.311,48,5824,0.2,306,306,306,46,263,263,263,41,48,48,48,5,29060,POINT (-87.623449 41.867824),60605-20210322
60605,03/23/2021,324,15032,282,9328,0.321,46,5870,0.202,324,324,324,35,282,282,282,18,46,46,46,17,29060,POINT (-87.623449 41.867824),60605-20210323
60603,12/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201215
60603,12/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201216
60603,12/17/2020,7,7,7,7,0.007,0,0,0,7,7,7,0,7,7,7,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201217
60605,03/24/2021,320,15352,265,9593,0.33,59,5929,0.204,320,320,320,51,265,265,265,33,59,59,59,18,29060,POINT (-87.623449 41.867824),60605-20210324
60605,03/25/2021,376,15728,234,9827,0.338,151,6080,0.209,376,376,376,85,234,234,234,5,151,151,151,81,29060,POINT (-87.623449 41.867824),60605-20210325
60605,03/26/2021,425,16153,249,10076,0.347,188,6268,0.216,425,425,422,105,249,249,247,16,188,188,187,90,29060,POINT (-87.623449 41.867824),60605-20210326
60605,03/27/2021,252,16405,172,10248,0.353,95,6363,0.219,252,252,251,27,172,172,171,3,95,95,95,24,29060,POINT (-87.623449 41.867824),60605-20210327
60605,03/28/2021,153,16558,132,10380,0.357,56,6419,0.221,153,153,152,12,132,132,131,3,56,56,56,10,29060,POINT (-87.623449 41.867824),60605-20210328
60605,03/29/2021,392,16950,326,10706,0.368,84,6503,0.224,392,392,390,23,326,326,324,9,84,84,84,14,29060,POINT (-87.623449 41.867824),60605-20210329
60605,03/30/2021,509,17459,404,11110,0.382,112,6615,0.228,509,509,507,35,404,404,402,13,112,112,112,22,29060,POINT (-87.623449 41.867824),60605-20210330
