ZIP Code,Population,Pop Density (people per sq mi),Median Household Income,Median age,Percent white,Percent Black Or African American,Percent American Indian Or Alaskan Native,Percent Asian,Percent Native Hawaiian & Other Pacific Islander	,Other Race,Two Or More Races,Percent Less than High School Diploma (25 and over),Percent High School Graduate (25 and over),Percent Bachelor's Degree (25 and over)
60007,33820,2402,67473,42.00,83.10,1.40,0.30,10.00,0.00,3.30,1.90,7.10,49.00,25.80
60018,30099,1841,54688,38.00,72.30,1.40,1.10,9.20,0.00,13.10,2.90,19.90,51.00,16.60
60068,37475,5283,87119,45.00,93.40,0.50,0.10,3.70,0.00,1.00,1.30,4.00,36.00,30.00
60106,20309,2264,57624,35.00,69.00,3.30,0.90,4.60,0.00,19.30,2.90,23.40,54.00,12.10
60131,18097,3262,54102,36.00,74.80,1.30,0.40,3.00,0.00,18.00,2.50,20.20,54.80,12.40
60176,11795,4453,41813,35.00,80.70,1.90,0.50,5.90,0.00,9.20,1.90,16.80,56.40,14.90
60601,11110,28793,95556,33.00,68.10,6.80,0.30,20.30,0.00,1.60,2.80,1.00,15.00,40.00
60602,1204,13833,79957,30.00,71.30,11.00,0.10,13.20,0.00,1.30,3.10,0.00,27.00,39.00
60603,493,3402,107419,25.00,71.60,2.80,0.00,21.30,0.20,1.80,2.20,0.00,14.00,44.00
60604,570,6157,132188,32.00,76.00,7.40,0.40,13.50,0.00,0.70,2.10,2.00,11.00,28.00
60605,24668,19806,75426,32.00,62.90,18.50,0.20,13.20,0.00,2.10,3.00,5.00,16.00,36.00
60606,2308,9034,109324,34.00,78.70,4.20,0.10,13.80,0.00,1.30,1.90,1.00,8.00,39.00
60607,23897,10299,80261,30.00,60.60,16.30,0.20,17.90,0.10,2.00,2.80,5.00,17.00,38.00
60608,82739,13025,35336,31.00,40.80,18.20,0.90,9.00,0.00,28.10,2.90,36.50,40.00,12.60
60609,64906,8367,33630,29.00,36.20,28.90,0.70,3.70,0.00,27.70,2.70,35.10,50.40,6.90
60610,37726,32165,72636,34.00,72.10,18.20,0.10,6.60,0.00,1.20,1.80,4.00,23.00,38.00
60611,28718,35505,85642,40.00,78.30,4.40,0.10,14.20,0.00,0.90,2.10,0.80,14.60,43.60
60612,33472,8933,35318,31.00,24.90,61.70,0.30,4.90,0.00,6.00,2.20,19.00,44.00,19.00
60613,48281,22193,66697,32.00,80.20,7.80,0.30,5.80,0.10,3.60,2.40,4.00,20.00,45.00
60614,66617,21040,86215,30.00,86.80,3.90,0.20,5.30,0.00,1.60,2.20,3.00,12.00,45.00
60615,40603,18351,39055,34.00,26.40,62.00,0.20,6.80,0.00,1.30,3.30,9.00,33.00,21.00
60616,48433,11966,44258,36.00,28.10,26.00,0.20,39.90,0.00,3.60,2.20,20.00,37.00,20.00
60617,84155,6070,38845,35.00,23.30,56.20,0.60,0.30,0.00,17.30,2.40,22.60,54.50,9.30
60618,92084,18195,55577,32.00,65.80,3.50,0.70,5.30,0.00,20.10,4.50,19.00,38.00,24.70
60619,63825,10601,34977,41.00,0.70,97.40,0.20,0.10,0.00,0.30,1.30,12.80,55.20,14.80
60620,72216,10191,31753,38.00,0.50,98.10,0.20,0.10,0.00,0.30,1.00,17.60,60.30,9.50
60621,35912,9632,19548,31.00,0.60,97.90,0.20,0.10,0.00,0.30,0.90,26.30,60.60,4.60
60622,52548,21418,68923,31.00,70.70,8.30,0.50,3.80,0.00,13.30,3.30,13.00,22.00,38.00
60623,92108,17196,28949,28.00,31.10,33.50,1.00,0.20,0.00,31.70,2.50,46.70,42.40,4.90
60624,38105,10780,22786,31.00,2.20,95.30,0.20,0.10,0.00,1.10,1.10,26.80,59.80,5.60
60625,78651,20181,56597,32.00,59.20,4.60,0.60,14.00,0.10,16.70,4.70,22.00,30.00,26.00
60626,50139,29402,38734,33.00,51.80,25.90,0.60,7.20,0.10,10.20,4.30,17.00,36.00,25.00
60628,72202,6612,37472,37.00,2.20,94.70,0.20,0.10,0.00,1.50,1.20,17.50,58.70,10.70
60629,113916,16726,40650,29.00,41.00,23.00,0.70,0.50,0.00,32.00,2.70,35.00,51.40,6.00
60630,54093,11330,58086,39.00,73.90,1.40,0.50,10.60,0.10,9.90,3.60,13.40,48.20,20.70
60631,28641,2698,74007,43.00,92.60,0.50,0.10,3.00,0.00,2.10,1.70,8.00,50.00,22.00
60632,91326,12297,38545,28.00,48.90,2.10,0.90,3.10,0.00,41.90,3.10,43.20,43.50,6.30
